Data publisher,Dataset,Scientific name,Rank,Author,Specific epithet,Kingdom,Phylum,Class,Order,Family,Genus,Species,GBIF ID,Accepted,Taxonomy tree url,Taxon page url
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callicanthus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Callicanthus,,11415778,N,http://data.gbif.org/species/browse/taxon/11415778,http://data.gbif.org/species/11415778
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callichrous,genus,,,Animalia,Chordata,Actinopterygii,Siluriformes,Siluridae,Callichrous,,11333859,N,http://data.gbif.org/species/browse/taxon/11333859,http://data.gbif.org/species/11333859
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callichrus,genus,,,Animalia,Chordata,Actinopterygii,Siluriformes,Siluridae,Callichrus,,11415343,N,http://data.gbif.org/species/browse/taxon/11415343,http://data.gbif.org/species/11415343
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callichthyidae,family,,,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,,,11320277,Y,http://data.gbif.org/species/browse/taxon/11320277,http://data.gbif.org/species/11320277
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callichthys,genus,,,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Callichthys,,11332539,Y,http://data.gbif.org/species/browse/taxon/11332539,http://data.gbif.org/species/11332539
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callichthys,genus,,,Animalia,Chordata,Actinopterygii,Siluriformes,Doradidae,Callichthys,,11412840,N,http://data.gbif.org/species/browse/taxon/11412840,http://data.gbif.org/species/11412840
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calliclinus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,Calliclinus,,11413066,Y,http://data.gbif.org/species/browse/taxon/11413066,http://data.gbif.org/species/11413066
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callieleotris,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Callieleotris,,11413039,N,http://data.gbif.org/species/browse/taxon/11413039,http://data.gbif.org/species/11413039
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callimucenus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Callimucenus,,11446610,N,http://data.gbif.org/species/browse/taxon/11446610,http://data.gbif.org/species/11446610
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calliodon,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Calliodon,,11333778,N,http://data.gbif.org/species/browse/taxon/11333778,http://data.gbif.org/species/11333778
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callionymidae,family,,,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,,,11320517,Y,http://data.gbif.org/species/browse/taxon/11320517,http://data.gbif.org/species/11320517
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callionymnus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymnus,,11416050,N,http://data.gbif.org/species/browse/taxon/11416050,http://data.gbif.org/species/11416050
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callionymus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus,,11333026,Y,http://data.gbif.org/species/browse/taxon/11333026,http://data.gbif.org/species/11333026
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callionymus,genus,,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Platycephalidae,Callionymus,,11415513,N,http://data.gbif.org/species/browse/taxon/11415513,http://data.gbif.org/species/11415513
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callionymus,genus,,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Comephoridae,Callionymus,,11418812,N,http://data.gbif.org/species/browse/taxon/11418812,http://data.gbif.org/species/11418812
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callionymus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Bovichtidae,Callionymus,,11419338,N,http://data.gbif.org/species/browse/taxon/11419338,http://data.gbif.org/species/11419338
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callionymus,genus,,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Dactylopteridae,Callionymus,,11444905,N,http://data.gbif.org/species/browse/taxon/11444905,http://data.gbif.org/species/11444905
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callionymus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Percophidae,Callionymus,,11446318,N,http://data.gbif.org/species/browse/taxon/11446318,http://data.gbif.org/species/11446318
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calliurichthys,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Calliurichthys,,11363245,Y,http://data.gbif.org/species/browse/taxon/11363245,http://data.gbif.org/species/11363245
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calliurus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Calliurus,,11419268,N,http://data.gbif.org/species/browse/taxon/11419268,http://data.gbif.org/species/11419268
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callochromis,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Callochromis,,11361384,Y,http://data.gbif.org/species/browse/taxon/11361384,http://data.gbif.org/species/11361384
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callogobius,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Callogobius,,11363671,Y,http://data.gbif.org/species/browse/taxon/11363671,http://data.gbif.org/species/11363671
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callopanchax,genus,,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Aplocheilidae,Callopanchax,,11412525,Y,http://data.gbif.org/species/browse/taxon/11412525,http://data.gbif.org/species/11412525
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callopharynx,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Callopharynx,,11363546,N,http://data.gbif.org/species/browse/taxon/11363546,http://data.gbif.org/species/11363546
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calloplesiops,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Plesiopidae,Calloplesiops,,11333023,Y,http://data.gbif.org/species/browse/taxon/11333023,http://data.gbif.org/species/11333023
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callopresiops,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Plesiopidae,Callopresiops,,11418340,N,http://data.gbif.org/species/browse/taxon/11418340,http://data.gbif.org/species/11418340
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calloptilum,genus,,,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,Calloptilum,,11418698,N,http://data.gbif.org/species/browse/taxon/11418698,http://data.gbif.org/species/11418698
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calloptilum,genus,,,Animalia,Chordata,Actinopterygii,Gadiformes,Bregmacerotidae,Calloptilum,,11419131,N,http://data.gbif.org/species/browse/taxon/11419131,http://data.gbif.org/species/11419131
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callosphyraena,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Callosphyraena,,11413210,N,http://data.gbif.org/species/browse/taxon/11413210,http://data.gbif.org/species/11413210
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callyodon,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Callyodon,,11333107,N,http://data.gbif.org/species/browse/taxon/11333107,http://data.gbif.org/species/11333107
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callyodon,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Odacidae,Callyodon,,11415399,N,http://data.gbif.org/species/browse/taxon/11415399,http://data.gbif.org/species/11415399
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Callyonimus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Callyonimus,,11334082,N,http://data.gbif.org/species/browse/taxon/11334082,http://data.gbif.org/species/11334082
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calophysus,genus,,,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Calophysus,,11332754,Y,http://data.gbif.org/species/browse/taxon/11332754,http://data.gbif.org/species/11332754
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calotomus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Calotomus,,11333738,Y,http://data.gbif.org/species/browse/taxon/11333738,http://data.gbif.org/species/11333738
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calumia,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Calumia,,11412104,Y,http://data.gbif.org/species/browse/taxon/11412104,http://data.gbif.org/species/11412104
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Calymmichthys,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Calymmichthys,,11446484,N,http://data.gbif.org/species/browse/taxon/11446484,http://data.gbif.org/species/11446484
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Camarina,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Camarina,,11418941,N,http://data.gbif.org/species/browse/taxon/11418941,http://data.gbif.org/species/11418941
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Campellolebias,genus,,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Campellolebias,,11415130,Y,http://data.gbif.org/species/browse/taxon/11415130,http://data.gbif.org/species/11415130
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Campichthys,genus,,,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Campichthys,,11417211,Y,http://data.gbif.org/species/browse/taxon/11417211,http://data.gbif.org/species/11417211
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Campogramma,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Campogramma,,11415903,Y,http://data.gbif.org/species/browse/taxon/11415903,http://data.gbif.org/species/11415903
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Campostoma,genus,,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,,11412933,Y,http://data.gbif.org/species/browse/taxon/11412933,http://data.gbif.org/species/11412933
