Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Dactylobatus clarkii	clarkii	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dactylobatus	Dactylobatus clarkii
Etmopterus schultzi	schultzi	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Etmopterus	Etmopterus schultzi
Fenestraja sinusmexicanus	sinusmexicanus	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Fenestraja	Fenestraja sinusmexicanus
Isistius brasiliensis	brasiliensis	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Isistius	Isistius brasiliensis
Cruriraja atlantis	atlantis	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Cruriraja	Cruriraja atlantis
Benthobatis marcida	marcida	Animalia	Chordata	Elasmobranchii	Torpediniformes	Narcinidae	Benthobatis	Benthobatis marcida
Hexanchus nakamurai	nakamurai	Animalia	Chordata	Elasmobranchii	Hexanchiformes	Hexanchidae	Hexanchus	Hexanchus nakamurai
Rajidae								
Scyliorhinus								
Leucoraja garmani	garmani	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Leucoraja	Leucoraja garmani
Scyliorhinus retifer	retifer	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Scyliorhinus	Scyliorhinus retifer
Dipturus bullisi	bullisi	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dipturus	Dipturus bullisi
Dipturus teevani	teevani	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dipturus	Dipturus teevani
Fenestraja plutonia	plutonia	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Fenestraja	Fenestraja plutonia
Raja bullisi	bullisi	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dipturus	Dipturus bullisi
Raja eglanteria	eglanteria	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Raja	Raja eglanteria
Centrophorus acus	acus	Animalia	Chordata	Elasmobranchii	Squaliformes	Centrophoridae	Centrophorus	Centrophorus acus
Etmopterus bullisi	bullisi	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Etmopterus	Etmopterus bullisi
Etmopterus robinsi	robinsi	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Etmopterus	Etmopterus robinsi
Gurgesiella ishiyamai	ishiyamai	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Fenestraja	Fenestraja ishiyamai
Gurgesiella plutonia	plutonia	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Fenestraja	Fenestraja plutonia
Malacoraja fuliginea	fuliginea	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Rajella	Rajella fuliginea
Centroscymnus coelolepis	coelolepis	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Centroscymnus	Centroscymnus coelolepis
Scyliorhinidae								
Breviraja plutonia	plutonia	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Fenestraja	Fenestraja plutonia
Breviraja sinusmexicanus	sinusmexicanus	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Fenestraja	Fenestraja sinusmexicanus
Centrophorus uyato	uyato	Animalia	Chordata	Elasmobranchii	Squaliformes	Centrophoridae	Centrophorus	Centrophorus uyato
Etmopterus		Animalia	Chordata	Elasmobranchii	Squaliformes	Squalidae	Etmopterus	
Raja laevis	laevis	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dipturus	Dipturus laevis
Carcharhinus acronotus	acronotus	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus acronotus
Etmopterus princeps	princeps	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Etmopterus	Etmopterus princeps
Cruriraja rugosa	rugosa	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Cruriraja	Cruriraja rugosa
Raja olseni	olseni	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dipturus	Dipturus olseni
Rajella purpuriventralis	purpuriventralis	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Rajella	Rajella purpuriventralis
Carcharhinus signatus	signatus	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus signatus
Hexanchus griseus	griseus	Animalia	Chordata	Elasmobranchii	Hexanchiformes	Hexanchidae	Hexanchus	Hexanchus griseus
Odontaspis noronhai	noronhai	Animalia	Chordata	Elasmobranchii	Lamniformes	Odontaspididae	Odontaspis	Odontaspis noronhai
Sphyrnidae								
Rhinoptera bonasus	bonasus	Animalia	Chordata	Elasmobranchii	Rajiformes	Myliobatidae	Rhinoptera	Rhinoptera bonasus
Carcharhinus plumbeus	plumbeus	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus plumbeus
Raja								
Springeria falivatris	falivatris	Animalia	Chordata	Elasmobranchii	Rajiformes	Anacanthobatidae	Springeria	Springeria falivatris
Squalus acanthias	acanthias	Animalia	Chordata	Elasmobranchii	Squaliformes	Squalidae	Squalus	Squalus acanthias
Rhizoprionodon terraenovae	terraenovae	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Rhizoprionodon	Rhizoprionodon terraenovae
Rhinobatus lentiginosus	lentiginosus	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus
Dasyatis say	say	Animalia	Chordata	Elasmobranchii	Rajiformes	Dasyatidae	Dasyatis	Dasyatis say
Negaprion brevirostris	brevirostris	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Negaprion	Negaprion brevirostris
Rhinobatos percellens	percellens	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos percellens
