Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Coryphaena hippurus	hippurus	Animalia	Chordata	Actinopterygii	Perciformes	Coryphaenidae	Coryphaena	Coryphaena hippurus
Dactyloscopus tridigitatus	tridigitatus	Animalia	Chordata	Actinopterygii	Perciformes	Dactyloscopidae	Dactyloscopus	Dactyloscopus tridigitatus
Enneanectes pectoralis	pectoralis	Animalia	Chordata	Actinopterygii	Perciformes	Tripterygiidae	Enneanectes	Enneanectes pectoralis
Euthynnus alletteratus	alletteratus	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Euthynnus	Euthynnus alletteratus
Gambusia puncticulata	puncticulata	Animalia	Chordata	Actinopterygii	Cyprinodontiformes	Poeciliidae	Gambusia	Gambusia puncticulata
Haemulon parra	parra	Animalia	Chordata	Actinopterygii	Perciformes	Haemulidae	Haemulon	Haemulon parra
Hemiramphus balao	balao	Animalia	Chordata	Actinopterygii	Beloniformes	Hemiramphidae	Hemiramphus	Hemiramphus balao
Istiophorus platypterus	platypterus	Animalia	Chordata	Actinopterygii	Perciformes	Istiophoridae	Istiophorus	Istiophorus platypterus
Katsuwonus pelamis	pelamis	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Katsuwonus	Katsuwonus pelamis
Labrisomus bucciferus	bucciferus	Animalia	Chordata	Actinopterygii	Perciformes	Labrisomidae	Labrisomus	Labrisomus bucciferus
Lipogramma evides	evides	Animalia	Chordata	Actinopterygii	Perciformes	Grammatidae	Lipogramma	Lipogramma evides
Makaira nigricans	nigricans	Animalia	Chordata	Actinopterygii	Perciformes	Istiophoridae	Makaira	Makaira nigricans
Micrognathus crinitus	crinitus	Animalia	Chordata	Actinopterygii	Syngnathiformes	Syngnathidae	Micrognathus	Micrognathus crinitus
Microgobius microlepis	microlepis	Animalia	Chordata	Actinopterygii	Perciformes	Gobiidae	Microgobius	Microgobius microlepis
Microspathodon chrysurus	chrysurus	Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Microspathodon	Microspathodon chrysurus
Moringua edwardsi	edwardsi	Animalia	Chordata	Actinopterygii	Anguilliformes	Moringuidae	Moringua	Moringua edwardsi
Mycteroperca microlepis	microlepis	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Mycteroperca	Mycteroperca microlepis
Myrichthys breviceps	breviceps	Animalia	Chordata	Actinopterygii	Anguilliformes	Ophichthidae	Myrichthys	Myrichthys breviceps
Myrichthys ocellatus	ocellatus	Animalia	Chordata	Actinopterygii	Anguilliformes	Ophichthidae	Myrichthys	Myrichthys ocellatus
Quassiremus ascensionis	ascensionis	Animalia	Chordata	Actinopterygii	Anguilliformes	Ophichthidae	Quassiremus	Quassiremus ascensionis
Sarda sarda	sarda	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Sarda	Sarda sarda
Scarus coelestinus	coelestinus	Animalia	Chordata	Actinopterygii	Perciformes	Scaridae	Scarus	Scarus coelestinus
Scarus taeniopterus	taeniopterus	Animalia	Chordata	Actinopterygii	Perciformes	Scaridae	Scarus	Scarus taeniopterus
Sparisoma radians	radians	Animalia	Chordata	Actinopterygii	Perciformes	Scaridae	Sparisoma	Sparisoma radians
Sparisoma rubripinne	rubripinne	Animalia	Chordata	Actinopterygii	Perciformes	Scaridae	Sparisoma	Sparisoma rubripinne
Stegastes fuscus	fuscus	Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Stegastes	Stegastes fuscus
Stegastes leucostictus	leucostictus	Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Stegastes	Stegastes leucostictus
Stegastes planifrons	planifrons	Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Stegastes	Stegastes planifrons
Strongylura timucu	timucu	Animalia	Chordata	Actinopterygii	Beloniformes	Belonidae	Strongylura	Strongylura timucu
Tetrapturus albidus	albidus	Animalia	Chordata	Actinopterygii	Perciformes	Istiophoridae	Tetrapturus	Tetrapturus albidus
Thalassoma bifasciatum	bifasciatum	Animalia	Chordata	Actinopterygii	Perciformes	Labridae	Thalassoma	Thalassoma bifasciatum
Thunnus atlanticus	atlanticus	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Thunnus	Thunnus atlanticus
Caranx ruber	ruber	Animalia	Chordata	Actinopterygii	Perciformes	Carangidae	Carangoides	Carangoides ruber
Derilissus kremnobates	kremnobates	Animalia	Chordata	Actinopterygii	Gobiesociformes	Gobiesocidae	Derilissus	Derilissus kremnobates
Entomacrodus nigricans	nigricans	Animalia	Chordata	Actinopterygii	Perciformes	Blenniidae	Entomacrodus	Entomacrodus nigricans
Eucinostomus jonesi	jonesi	Animalia	Chordata	Actinopterygii	Perciformes	Gerreidae	Eucinostomus	Eucinostomus jonesii
Myrichthys acuminatus	acuminatus	Animalia	Chordata	Actinopterygii	Anguilliformes	Ophichthidae	Myrichthys	Myrichthys breviceps
Myrichthys oculatus	oculatus	Animalia	Chordata	Actinopterygii	Anguilliformes	Ophichthidae	Myrichthys	Myrichthys ocellatus
Petrometopon cruentatum	cruentatum	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Cephalopholis	Cephalopholis cruentata
Pomacentrus fuscus	fuscus	Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Stegastes	Stegastes fuscus
Pomacentrus leucostictus	leucostictus	Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Stegastes	Stegastes leucostictus
Pomacentrus planifrons	planifrons	Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Stegastes	Stegastes planifrons
Quassiremus productus	productus	Animalia	Chordata	Actinopterygii	Anguilliformes	Ophichthidae	Quassiremus	Quassiremus ascensionis
Spheroides spengleri	spengleri	Animalia	Chordata	Actinopterygii	Tetraodontiformes	Tetraodontidae	Spheroides	Spheroides spengleri
Anarchias similis	similis	Animalia	Chordata	Actinopterygii	Anguilliformes	Muraenidae	Anarchias	Anarchias similis
Cypselurus lineatus	lineatus	Animalia	Chordata	Actinopterygii	Beloniformes	Exocoetidae	Cheilopogon	Cheilopogon pinnatibarbatus
Hippocampus								
Gadidae								
Ablennes hians	hians	Animalia	Chordata	Actinopterygii	Beloniformes	Belonidae	Ablennes	Ablennes hians
Acanthurus coeruleus	coeruleus	Animalia	Chordata	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	Acanthurus coeruleus
Acanthurus								
Acromycter								
Alepocephalidae		Animalia	Chordata	Actinopterygii	Osmeriformes	Alepocephalidae	Alepocephalidae	
Apogonidae		Animalia	Chordata	Actinopterygii	Perciformes	Apogonidae	Apogonidae	
Argyropelecus aculeatus	aculeatus	Animalia	Chordata	Actinopterygii	Stomiiformes	Sternoptychidae	Argyropelecus	Argyropelecus aculeatus
Astronesthes similis	similis	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Astronesthes	Astronesthes similus
Astronesthes richardsoni	richardsoni	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Astronesthes	Astronesthes richardsoni
Astronesthes niger	niger	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Astronesthes	Astronesthes niger
Bathophilus digitatus	digitatus	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Bathophilus	Bathophilus digitatus
Benthodesmus								
Benthodesmus simonyi	simonyi	Animalia	Chordata	Actinopterygii	Perciformes	Trichiuridae	Benthodesmus	Benthodesmus simonyi
Benthosema suborbitale	suborbitale	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Benthosema	Benthosema suborbitale
Bonapartia pedaliota	pedaliota	Animalia	Chordata	Actinopterygii	Stomiiformes	Gonostomatidae	Bonapartia	Bonapartia pedaliota
Bolinichthys photothorax	photothorax	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Bolinichthys	Bolinichthys photothorax
Bolinichthys supralateralis	supralateralis	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Bolinichthys	Bolinichthys supralateralis
Bothus								
Bregmaceros ash-five	ash-five	Animalia	Chordata	Actinopterygii	Gadiformes	Bregmacerotidae	Bregmaceros	Bregmaceros ash-five
Bregmaceros atlanticus	atlanticus	Animalia	Chordata	Actinopterygii	Gadiformes	Bregmacerotidae	Bregmaceros	Bregmaceros atlanticus
Carangoides bartholomaei	bartholomaei	Animalia	Chordata	Actinopterygii	Perciformes	Carangidae	Carangoides	Carangoides bartholomaei
Canthidermis maculatus	maculatus	Animalia	Chordata	Actinopterygii	Tetraodontiformes	Balistidae	Canthidermis	Canthidermis maculata
Cantherhines								
Canthigaster rostrata	rostrata	Animalia	Chordata	Actinopterygii	Tetraodontiformes	Tetraodontidae	Canthigaster	Canthigaster rostrata
Caranx								
Caranx crysos	crysos	Animalia	Chordata	Actinopterygii	Perciformes	Carangidae	Caranx	Caranx crysos
Ceratoscopelus warmingii	warmingii	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Ceratoscopelus	Ceratoscopelus warmingii
Cheilopogon melanurus	melanurus	Animalia	Chordata	Actinopterygii	Beloniformes	Exocoetidae	Cheilopogon	Cheilopogon melanurus
Chauliodus								
Chlorophthalmus								
Chlorophthalmus agassizi	agassizi	Animalia	Chordata	Actinopterygii	Aulopiformes	Chlorophthalmidae	Chlorophthalmus	Chlorophthalmus agassizi
Chromis species	species	Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Chromis	Chromis species
Chrionema squamentum	squamentum	Animalia	Chordata	Actinopterygii	Perciformes	Percophidae	Chrionema	Chrionema squamentum
Conger								
Coccorella atlantica	atlantica	Animalia	Chordata	Actinopterygii	Aulopiformes	Evermannellidae	Coccorella	Coccorella atlantica
Diaphus bertelseni	bertelseni	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus bertelseni
Diaphus brachycephalus	brachycephalus	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus brachycephalus
Diaphus effulgens	effulgens	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus effulgens
Diaphus lucidus	lucidus	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus lucidus
Diaphus fragilis	fragilis	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus fragilis
Diaphus problematicus	problematicus	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus problematicus
Diaphus mollis	mollis	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus mollis
Diaphus perspicillatus	perspicillatus	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus perspicillatus
Diaphus termophilus	termophilus	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus termophilus
Diaphus splendidus	splendidus	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus splendidus
Eustomias brevibarbatus	brevibarbatus	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Eustomias	Eustomias brevibarbatus
Eustomias								
Gnathophis								
Gonostoma elongatum	elongatum	Animalia	Chordata	Actinopterygii	Stomiiformes	Gonostomatidae	Gonostoma	Gonostoma elongatum
Gymnothorax vicinus	vicinus	Animalia	Chordata	Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax vicinus
Heteropriacanthus cruentatus	cruentatus	Animalia	Chordata	Actinopterygii	Perciformes	Priacanthidae	Heteropriacanthus	Heteropriacanthus cruentatus
Howella								
Hoplostethus								
Hygophum reinhardtii	reinhardtii	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Hygophum	Hygophum reinhardtii
Lampadena luminosa	luminosa	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Lampadena	Lampadena luminosa
Lampanyctus								
Lampanyctus tenuiformis	tenuiformis	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Lampanyctus	Lampanyctus tenuiformis
Lampanyctus photonotus	photonotus	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Lampanyctus	Lampanyctus photonotus
Lampanyctus alatus	alatus	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Lampanyctus	Lampanyctus alatus
Lepidophanes guentheri	guentheri	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Lepidophanes	Lepidophanes guentheri
Leptostomias bermudensis	bermudensis	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Leptostomias	Leptostomias bermudensis
Lestidiops affinis	affinis	Animalia	Chordata	Actinopterygii	Aulopiformes	Paralepididae	Lestidiops	Lestidiops affinis
Lestidiops jayakari jayakari	jayakari	Animalia	Chordata	Actinopterygii	Aulopiformes	Paralepididae	Lestidiops	
Lestidium atlanticum	atlanticum	Animalia	Chordata	Actinopterygii	Aulopiformes	Paralepididae	Lestidium	Lestidium atlanticum
Lophotes		Animalia	Chordata	Actinopterygii	Lampriformes	Lophotidae	Lophotes	
Lobianchia gemellarii	gemellarii	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Lobianchia	Lobianchia gemellarii
Manducus maderensis	maderensis	Animalia	Chordata	Actinopterygii	Stomiiformes	Gonostomatidae	Manducus	Manducus maderensis
Melamphaes								
Melamphaes pumilus	pumilus	Animalia	Chordata	Actinopterygii	Stephanoberyciformes	Melamphaidae	Melamphaes	Melamphaes pumilus
Melanocetus murrayi	murrayi	Animalia	Chordata	Actinopterygii	Lophiiformes	Melanocetidae	Melanocetus	Melanocetus murrayi
Melanostomias								
Monacanthus setifer	setifer	Animalia	Chordata	Actinopterygii	Tetraodontiformes	Monacanthidae	Stephanolepis	Stephanolepis setifer
Myctophum obtusirostre	obtusirostre	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Myctophum	Myctophum obtusirostre
Myctophum nitidulum	nitidulum	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Myctophum	Myctophum nitidulum
Myctophum asperum	asperum	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Myctophum	Myctophum asperum
Myctophum selenops	selenops	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Myctophum	Myctophum selenops
Nannobrachium lineatum	lineatum	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Nannobrachium	Nannobrachium lineatum
Nannobrachium cuprarium	cuprarium	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Nannobrachium	Nannobrachium cuprarium
Nesiarchus nasutus	nasutus	Animalia	Chordata	Actinopterygii	Perciformes	Gempylidae	Nesiarchus	Nesiarchus nasutus
Notolychnus valdiviae	valdiviae	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Notolychnus	Notolychnus valdiviae
Odontostomops normalops	normalops	Animalia	Chordata	Actinopterygii	Aulopiformes	Evermannellidae	Odontostomops	Odontostomops normalops
Oxyporhamphus micropterus	micropterus	Animalia	Chordata	Actinopterygii	Beloniformes	Hemiramphidae	Oxyporhamphus	Oxyporhamphus micropterus
Parexocoetus hillianus	hillianus	Animalia	Chordata	Actinopterygii	Beloniformes	Exocoetidae	Parexocoetus	Parexocoetus hillianus
Photostomias guernei	guernei	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Photostomias	Photostomias guernei
Poecilopsetta								
Pollichthys mauli	mauli	Animalia	Chordata	Actinopterygii	Stomiiformes	Phosichthyidae	Pollichthys	Pollichthys mauli
Polymixia lowei	lowei	Animalia	Chordata	Actinopterygii	Polymixiiformes	Polymixiidae	Polymixia	Polymixia lowei
Polymixia								
Pristigenys alta	alta	Animalia	Chordata	Actinopterygii	Perciformes	Priacanthidae	Pristigenys	Pristigenys alta
Pterycombus brama	brama	Animalia	Chordata	Actinopterygii	Perciformes	Bramidae	Pterycombus	Pterycombus brama
Scopelarchoides danae	danae	Animalia	Chordata	Actinopterygii	Aulopiformes	Scopelarchidae	Scopelarchoides	Scopelarchoides danae
Scombrolabrax heterolepis	heterolepis	Animalia	Chordata	Actinopterygii	Perciformes	Scombrolabracidae	Scombrolabrax	Scombrolabrax heterolepis
Scombrolabrax								
Scopelosaurus smithii	smithii	Animalia	Chordata	Actinopterygii	Aulopiformes	Notosudidae	Scopelosaurus	Scopelosaurus smithii
Scopelogadus mizolepis mizolepis	mizolepis	Animalia	Chordata	Actinopterygii	Stephanoberyciformes	Melamphaidae	Scopelogadus	
Scorpaenodes species	species	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Scorpaenodes	Scorpaenodes species
Sphoeroides								
Stemonosudis								
Sternoptychidae		Animalia	Chordata	Actinopterygii	Stomiiformes	Sternoptychidae	Sternoptychidae	
Sudis hyalina	hyalina	Animalia	Chordata	Actinopterygii	Aulopiformes	Paralepididae	Sudis	Sudis hyalina
Sudis atrox	atrox	Animalia	Chordata	Actinopterygii	Aulopiformes	Paralepididae	Sudis	Sudis atrox
Synagrops								
Symphysanodon								
Thunnus								
Vinciguerria nimbaria	nimbaria	Animalia	Chordata	Actinopterygii	Stomiiformes	Phosichthyidae	Vinciguerria	Vinciguerria nimbaria
Xenomystax								
Centrobranchus nigro-ocellatus	nigro-ocellatus	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Centrobranchus	Centrobranchus nigro-ocellatus
Ceratoscopelus warmingi	warmingi	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Ceratoscopelus	Ceratoscopelus warmingii
Lampanyctus cuprarius	cuprarius	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Nannobrachium	Nannobrachium cuprarium
Lampanyctus nobilis	nobilis	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Lampanyctus	Lampanyctus nobilis
Lepidophanes gaussi	gaussi	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Lepidophanes	Lepidophanes gaussi
Notoscopelus caudispinosus	caudispinosus	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Notoscopelus	Notoscopelus caudispinosus
Gobiidae		Animalia	Chordata	Actinopterygii	Perciformes	Gobiidae	Gobiidae	
Aristostomias polydactylus	polydactylus	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Aristostomias	Aristostomias polydactylus
Hirundichthys rondeletii	rondeletii	Animalia	Chordata	Actinopterygii	Beloniformes	Exocoetidae	Hirundichthys	Hirundichthys rondeletii
Kali indica	indica	Animalia	Chordata	Actinopterygii	Perciformes	Chiasmodontidae	Kali	Kali indica
Bembrops								
Evermannella indica	indica	Animalia	Chordata	Actinopterygii	Aulopiformes	Evermannellidae	Evermannella	Evermannella indica
Mirapinnidae		Animalia	Chordata	Actinopterygii	Cetomimiformes	Mirapinnidae	Mirapinnidae	
Antennarius								
Elagatis bipinnulata	bipinnulata	Animalia	Chordata	Actinopterygii	Perciformes	Carangidae	Elagatis	Elagatis bipinnulata
Monacanthus								
Benthodesmus tenuis	tenuis	Animalia	Chordata	Actinopterygii	Perciformes	Trichiuridae	Benthodesmus	Benthodesmus tenuis
Dibranchus atlanticus	atlanticus	Animalia	Chordata	Actinopterygii	Lophiiformes	Ogcocephalidae	Dibranchus	Dibranchus atlanticus
Gigantura chuni	chuni	Animalia	Chordata	Actinopterygii	Aulopiformes	Giganturidae	Gigantura	Gigantura chuni
Sternoptyx diaphana	diaphana	Animalia	Chordata	Actinopterygii	Stomiiformes	Sternoptychidae	Sternoptyx	Sternoptyx diaphana
Cheilopogon heterurus	heterurus	Animalia	Chordata	Actinopterygii	Beloniformes	Exocoetidae	Cheilopogon	Cheilopogon heterurus
Hemiramphus brasiliensis	brasiliensis	Animalia	Chordata	Actinopterygii	Beloniformes	Hemiramphidae	Hemiramphus	Hemiramphus brasiliensis
Platybelone argalus	argalus	Animalia	Chordata	Actinopterygii	Beloniformes	Belonidae	Platybelone	Platybelone argalus
Pseudupeneus maculatus	maculatus	Animalia	Chordata	Actinopterygii	Perciformes	Mullidae	Pseudupeneus	Pseudupeneus maculatus
Nomeus gronovii	gronovii	Animalia	Chordata	Actinopterygii	Perciformes	Nomeidae	Nomeus	Nomeus gronovii
Argyropelecus hemigymnus	hemigymnus	Animalia	Chordata	Actinopterygii	Stomiiformes	Sternoptychidae	Argyropelecus	Argyropelecus hemigymnus
Benthosema glaciale	glaciale	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Benthosema	Benthosema glaciale
Chauliodus atlantis	atlantis	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Chauliodus	Chauliodus sloani
Chauliodus danae	danae	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Chauliodus	Chauliodus danae
Cyclothone obscura	obscura	Animalia	Chordata	Actinopterygii	Stomiiformes	Gonostomatidae	Cyclothone	Cyclothone obscura
Labridae		Animalia	Chordata	Actinopterygii	Perciformes	Labridae	Labridae	
Leptocephalus								
Photostomias goodyeari	goodyeari	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Photostomias	Photostomias goodyeari
Polyipnus laternatus	laternatus	Animalia	Chordata	Actinopterygii	Stomiiformes	Sternoptychidae	Polyipnus	Polyipnus laternatus
Scaridae		Animalia	Chordata	Actinopterygii	Perciformes	Scaridae	Scaridae	
Seriola								
Vinciguerria attenuata	attenuata	Animalia	Chordata	Actinopterygii	Stomiiformes	Phosichthyidae	Vinciguerria	Vinciguerria attenuata
Evermannellidae		Animalia	Chordata	Actinopterygii	Aulopiformes	Evermannellidae	Evermannellidae	
Harengula humeralis	humeralis	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Harengula	Harengula humeralis
Antias milleri	milleri	Animalia	Chordata	Actinopterygii	Perciformes	Anabantidae	Antias	Antias milleri
Brama caribbea	caribbea	Animalia	Chordata	Actinopterygii	Perciformes	Bramidae	Brama	Brama caribbea
Cypselurus exsiliens	exsiliens	Animalia	Chordata	Actinopterygii	Beloniformes	Exocoetidae	Cheilopogon	Cheilopogon exsiliens
Cypselurus heterurus	heterurus	Animalia	Chordata	Actinopterygii	Beloniformes	Exocoetidae	Cheilopogon	Cheilopogon heterurus
Hirundichthys speculiger	speculiger	Animalia	Chordata	Actinopterygii	Beloniformes	Exocoetidae	Hirundichthys	Hirundichthys speculiger
Diplospinus multistriatus	multistriatus	Animalia	Chordata	Actinopterygii	Perciformes	Gempylidae	Diplospinus	Diplospinus multistriatus
Cheilopogon exsiliens	exsiliens	Animalia	Chordata	Actinopterygii	Beloniformes	Exocoetidae	Cheilopogon	Cheilopogon exsiliens
Cheilopogon furcatus	furcatus	Animalia	Chordata	Actinopterygii	Beloniformes	Exocoetidae	Cheilopogon	Cheilopogon furcatus
Coryphaena equisetis	equisetis	Animalia	Chordata	Actinopterygii	Perciformes	Coryphaenidae	Coryphaena	Coryphaena equiselis
Histrio histrio	histrio	Animalia	Chordata	Actinopterygii	Lophiiformes	Antennariidae	Histrio	Histrio histrio
Holocentrus								
Myctophum rufinum	rufinum	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Symbolophorus	Symbolophorus rufinus
Upeneus parvus	parvus	Animalia	Chordata	Actinopterygii	Perciformes	Mullidae	Upeneus	Upeneus parvus
Cyclothone alba	alba	Animalia	Chordata	Actinopterygii	Stomiiformes	Gonostomatidae	Cyclothone	Cyclothone alba
Cyclothone braueri	braueri	Animalia	Chordata	Actinopterygii	Stomiiformes	Gonostomatidae	Cyclothone	Cyclothone braueri
Diaphus luetkeni	luetkeni	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus luetkeni
Gigantura indica	indica	Animalia	Chordata	Actinopterygii	Aulopiformes	Giganturidae	Gigantura	Gigantura indica
Melamphaes simus	simus	Animalia	Chordata	Actinopterygii	Stephanoberyciformes	Melamphaidae	Melamphaes	Melamphaes simus
Polyipnus clarus	clarus	Animalia	Chordata	Actinopterygii	Stomiiformes	Sternoptychidae	Polyipnus	Polyipnus clarus
Scopelarchus michaelsarsi	michaelsarsi	Animalia	Chordata	Actinopterygii	Aulopiformes	Scopelarchidae	Scopelarchus	Scopelarchus michaelsarsi
Vinciguerria poweriae	poweriae	Animalia	Chordata	Actinopterygii	Stomiiformes	Phosichthyidae	Vinciguerria	Vinciguerria poweriae
Antennarius multiocellatus	multiocellatus	Animalia	Chordata	Actinopterygii	Lophiiformes	Antennariidae	Antennarius	Antennarius multiocellatus
Antennarius sanguineus	sanguineus	Animalia	Chordata	Actinopterygii	Lophiiformes	Antennariidae	Antennarius	Antennarius sanguineus
Bairdiella batabana	batabana	Animalia	Chordata	Actinopterygii	Perciformes	Sciaenidae	Bairdiella	Bairdiella batabana
Diapterus auratus	auratus	Animalia	Chordata	Actinopterygii	Perciformes	Gerreidae	Diapterus	Diapterus auratus
Etropus crossotus	crossotus	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Etropus	Etropus crossotus
Gymnachirus melas	melas	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Achiridae	Gymnachirus	Gymnachirus melas
Pristipomoides aquilonaris	aquilonaris	Animalia	Chordata	Actinopterygii	Perciformes	Lutjanidae	Pristipomoides	Pristipomoides aquilonaris
Scorpaena dispar	dispar	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Scorpaena	Scorpaena dispar
Prionotus ophryas	ophryas	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Prionotus	Prionotus ophryas
Sphoeroides parvus	parvus	Animalia	Chordata	Actinopterygii	Tetraodontiformes	Tetraodontidae	Sphoeroides	Sphoeroides parvus
Sphyraena guachancho	guachancho	Animalia	Chordata	Actinopterygii	Perciformes	Sphyraenidae	Sphyraena	Sphyraena guachancho
Synodus poeyi	poeyi	Animalia	Chordata	Actinopterygii	Aulopiformes	Synodontidae	Synodus	Synodus poeyi
Lophodolos acanthognathus	acanthognathus	Animalia	Chordata	Actinopterygii	Lophiiformes	Oneirodidae	Lophodolos	Lophodolos acanthognathus
Paralepis coregonoides	coregonoides	Animalia	Chordata	Actinopterygii	Aulopiformes	Paralepididae	Paralepis	Paralepis coregonoides
Gempylus serpens	serpens	Animalia	Chordata	Actinopterygii	Perciformes	Gempylidae	Gempylus	Gempylus serpens
Ogcocephalus								
Selar crumenophthalmus	crumenophthalmus	Animalia	Chordata	Actinopterygii	Perciformes	Carangidae	Selar	Selar crumenophthalmus
Pseudoscopelus altipinnis	altipinnis	Animalia	Chordata	Actinopterygii	Perciformes	Chiasmodontidae	Pseudoscopelus	Pseudoscopelus altipinnis
Holocentrus ascensionis	ascensionis	Animalia	Chordata	Actinopterygii	Beryciformes	Holocentridae	Holocentrus	Holocentrus adscensionis
Saurida normani	normani	Animalia	Chordata	Actinopterygii	Aulopiformes	Synodontidae	Saurida	Saurida normani
Anoplogaster								
Brama dussumieri	dussumieri	Animalia	Chordata	Actinopterygii	Perciformes	Bramidae	Brama	Brama dussumieri
Bregmaceros macclellandii	macclellandii	Animalia	Chordata	Actinopterygii	Gadiformes	Bregmacerotidae	Bregmaceros	Bregmaceros mcclellandi
Chaetodon								
Citharichthys cornutus	cornutus	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys cornutus
Cubiceps								
Cyclothone								
Diaphus rafinesquii	rafinesquii	Animalia	Chordata	Actinopterygii	Myctophiformes	Myctophidae	Diaphus	Diaphus rafinesquii
Epigonus								
Hoplunnis								
Lestidiini		Animalia	Chordata	Actinopterygii	Aulopiformes	Paralepididae	Lestidiini	
Lopholatilus chameleonticeps	chameleonticeps	Animalia	Chordata	Actinopterygii	Perciformes	Malacanthidae	Lopholatilus	Lopholatilus chameleonticeps
