Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Ceratium vultur	vultur	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium vultur
Ceratocorys armata	armata	Protozoa	Dinophyta	Dinophyceae	Gonyaulacales	Ceratocoryaceae	Ceratocorys	Ceratocorys armata
Ceratocorys horrida	horrida	Protozoa	Dinophyta	Dinophyceae	Gonyaulacales	Ceratocoryaceae	Ceratocorys	Ceratocorys horrida
Cladopyxis brachiolata	brachiolata	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Cladopyxidaceae	Cladopyxis	Cladopyxis brachiolata
Dinophysis hastata	hastata	Protozoa	Dinophyta	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis hastata
Dinophysis schuettii	schuettii	Protozoa	Dinophyta	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis schuettii
Gonyaulax birostris	birostris	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Gonyaulacaceae	Gonyaulax	Gonyaulax birostris
Gonyaulax polygramma	polygramma	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Gonyaulacaceae	Gonyaulax	Gonyaulax polygramma
Oxytoxum elegans	elegans	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Oxytoxaceae	Oxytoxum	Oxytoxum elegans
Oxytoxum scolopax	scolopax	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Oxytoxaceae	Oxytoxum	Oxytoxum scolopax
Podolampas spinifera	spinifera	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Podolampaceae	Podolampas	Podolampas spinifera
Podolampas palmipes	palmipes	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Podolampaceae	Podolampas	Podolampas palmipes
Prorocentrum compressum	compressum	Protozoa	Dinophyta	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum compressum
Prorocentrum gracile	gracile	Protozoa	Dinophyta	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum gracile
Pyrocystis obtusa	obtusa	Protozoa	Dinophyta	Dinophyceae	Pyrocystales	Pyrocystaceae	Pyrocystis	Pyrocystis obtusa
Ceratium carriense	carriense	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium carriense
Ceratium fusus	fusus	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium fusus
Lauderia annulata	annulata	Chromista	Ochrophyta	Coscinodiscophyceae	Thalassiosirales	Lauderiaceae	Lauderia	Lauderia annulata
Azpeitia nodulifera	nodulifera	Chromista	Ochrophyta	Coscinodiscophyceae	Coscinodiscales	Hemidiscaceae	Azpeitia	Azpeitia nodulifera
Neodelphineis pelagica	pelagica	Plantae	Bacillariophyta	Bacillariophyceae	Rhaponeidales	Rhaphoneidaceae	Neodelphineis	Neodelphineis pelagica
Haslea wawrikae	wawrikae	Plantae	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Haslea	Haslea wawrikae
